auction,date,year,place,house,name,artwork,price,image,imageTitle,pageUrl,lot,eastimateNew,priceNumAlt,soldRef,soldAlt,currency2,category,style,provenance,exhibitionNew,price for convert,All currency USD
Summer Online Auction,JUN 10-12 2015,2015,,Saffron Art,Himmat Shah (b. 1933),Meditation-himmat  Shah,11400,http://mediacloud.saffronart.com/auctions/2015/sumauc/himmats_15sum_22307_big.jpg,Meditation-himmat  Shah,http://www.saffronart.com/Auctions/PostWork.aspx?l=16807,, 630000 - 945000,,718200,,INR,Sculpture,Figurative,From an Important International Collection, An Unreasoned Act of Being Sculptures by Himmat Shah Gayatri Sinha Mapin Publishing Ahmedabad 2007,11400,USD
Summer Online Auction,JUN 10-12 2015,2015,,Saffron Art,Francis Newton Souza (1924-2002),Untitled-francis Newton Souza,4200,http://mediacloud.saffronart.com/auctions/2015/sumauc/fnsouza_15sum_22135_big.jpg,Untitled-francis Newton Souza,http://www.saffronart.com/auctions/PostWork.aspx?l=16808,, 220500 - 283500,,264600,,INR,Painting,,Formerly in the collection of Julian Hartnoll London Private Collection UK,,4200,USD
Summer Online Auction,JUN 10-12 2015,2015,,Saffron Art,Syed Haider Raza (b. 1922),Untitled-s H Raza,63000,http://mediacloud.saffronart.com/auctions/2015/sumauc/shraza_11sm2125dg_big.jpg,Untitled-s H Raza,http://www.saffronart.com/Auctions/PostWork.aspx?l=16813,, 4410000 - 5040000,,3969000,,INR,Painting,,Formerly from a Parisienne collection Private collection Southeast Asia,,63000,USD
Summer Online Auction,JUN 10-12 2015,2015,,Saffron Art,Maqbool Fida Husain (1915-2011),Untitled-maqbool Fida Husain,168000,http://mediacloud.saffronart.com/auctions/2015/sumauc/mfhusain_15sum_22299_big.jpg,Untitled-maqbool Fida Husain,http://www.saffronart.com/Auctions/PostWork.aspx?l=16815,, 9450000 - 12600000,,1.0584E7,,INR,Painting,,Acquired directly from the artist From an Important International Collection,,168000,USD
Summer Online Auction,JUN 10-12 2015,2015,,Saffron Art,Anjolie Ela Menon (b. 1940),Untitled-anjolie Ela Menon,28200,http://mediacloud.saffronart.com/auctions/2015/sumauc/anjolie_15sum_20245_big.jpg,Untitled-anjolie Ela Menon,http://www.saffronart.com/Auctions/PostWork.aspx?l=16818,, 1260000 - 1890000,,1776600,,INR,Painting,,Acquired directly from the artist Private Collection Southeast Asia Gifted to the current owner,,28200,USD
Summer Online Auction,JUN 10-12 2015,2015,,Saffron Art,Himmat Shah (b. 1933),Lady Head With Hole-himmat  Shah,8219,http://mediacloud.saffronart.com/auctions/2015/sumauc/himmats_1404abs_14431_big.jpg,Lady Head With Hole-himmat  Shah,http://www.saffronart.com/Auctions/PostWork.aspx?l=16820,, 350000 - 450000,,517800,,INR,Sculpture,,,,8219,USD
Summer Online Auction,JUN 10-12 2015,2015,,Saffron Art,Krishen Khanna (b. 1925),A Stranger At Gyaniji's Dhaba-krishen  Khanna,102000,http://mediacloud.saffronart.com/auctions/2015/sumauc/kkhanna_15sum_22298_big.jpg,A Stranger At Gyaniji's Dhaba-krishen  Khanna,http://www.saffronart.com/auctions/PostWork.aspx?l=16832,, 6300000 - 9450000,,6426000,,INR,Painting,,From an Important International Collection,Krishen Khanna Saffronart in association with Osborne Samuel & Berkeley Square Gallery at The Royal Academy of Arts London 2007,102000,USD
Summer Online Auction,JUN 10-12 2015,2015,,Saffron Art,Sunil Das (b. 1939),Untitled (horse)-sunil  Das,3901,http://mediacloud.saffronart.com/auctions/2015/sumauc/sunild_15sum_22278_big.jpg,Untitled (horse)-sunil  Das,http://www.saffronart.com/auctions/PostWork.aspx?l=16834,, 200000 - 300000,,245776,,INR,Painting,,,,3901,USD
Summer Online Auction,JUN 10-12 2015,2015,,Saffron Art,Sudhir Patwardhan (b. 1949),Errant Son-sudhir  Patwardhan,6012,http://mediacloud.saffronart.com/auctions/2015/sumauc/sudhirp_15sum_21087_big.jpg,Errant Son-sudhir  Patwardhan,http://www.saffronart.com/Auctions/PostWork.aspx?l=16844,, 378000 - 504000,,378756,,INR,Painting,,From a Private East Coast Collection,,6012,USD
Summer Online Auction,JUN 10-12 2015,2015,,Saffron Art,Raqib Shaw,Untitled-raqib  Shaw,8400,http://mediacloud.saffronart.com/auctions/2015/sumauc/rshaw_sum15_21916_big.jpg,Untitled-raqib  Shaw,http://www.saffronart.com/Auctions/PostWork.aspx?l=16846,, 504000 - 630000,,529200,,INR,Painting,,Gifted to the current owner by the artist Private Collection London,,8400,USD
Evening Sale New Delhi | Live,SEP 11 2015,2015,New Delhi,Saffron Art,Francis Newton Souza (1924-2002),Untitled (landscape With Church)-francis Newton Souza,12000,http://mediacloud.saffronart.com/auctions/2015/liveaucsept/fnsouza_1509live_23802_big.jpg,Untitled (landscape With Church)-francis Newton Souza,http://www.saffronart.com/auctions/PostWork.aspx?l=18342,, 200000 - 400000,,780000,,INR,Drawing,,Barbara Zinkant Collection New York Private Collection North India,,12000,USD
Evening Sale New Delhi | Live,SEP 11 2015,2015,New Delhi,Saffron Art,Francis Newton Souza (1924-2002),Untitled (reclining Nude With Priest)-francis Newton Souza,7015,http://mediacloud.saffronart.com/auctions/2015/liveaucsept/fnsouza_1509live_24160_big.jpg,Untitled (reclining Nude With Priest)-francis Newton Souza,http://www.saffronart.com/auctions/PostWork.aspx?l=18343,, 200000 - 300000,,456000,,INR,Drawing,,The Estate of F. N. Souza Property of an Important Collector New Delhi,,7015,USD
Evening Sale New Delhi | Live,SEP 11 2015,2015,New Delhi,Saffron Art,Francis Newton Souza (1924-2002),Untitled-francis Newton Souza,15692,http://mediacloud.saffronart.com/auctions/2015/liveaucsept/fnsouza_1509live_23277_big.jpg,Untitled-francis Newton Souza,http://www.saffronart.com/auctions/PostWork.aspx?l=18344,, 600000 - 800000,,1020000,,INR,Painting,,Saffronart 10-12 May 2005 lot 33 Saffronart 15-16 June 2011 lot 5,,15692,USD
Evening Sale New Delhi | Live,SEP 11 2015,2015,New Delhi,Saffron Art,K. K. Hebbar (1911-1996),Untitled-k K Hebbar,12000,http://mediacloud.saffronart.com/auctions/2015/liveaucsept/kkhebbar_sep15_24325_big.jpg,Untitled-k K Hebbar,http://www.saffronart.com/auctions/PostWork.aspx?l=18345,, 350000 - 450000,,780000,,INR,Drawing,,Acquired directly from the artist The Meyer Family Collection Switzerland,,12000,USD
Evening Sale New Delhi | Live,SEP 11 2015,2015,New Delhi,Saffron Art,K. K. Hebbar (1911-1996),Prosperity-k K Hebbar,35077,http://mediacloud.saffronart.com/auctions/2015/liveaucsept/kkhebbar_sep15_24323_big.jpg,Prosperity-k K Hebbar,http://www.saffronart.com/auctions/PostWork.aspx?l=18346,, 1500000 - 1800000,,2280000,,INR,Painting,,Gifted by the artist 1980s The Meyer Family Collection Switzerland,Coups de Coeur  Halles de I'lle Geneva 1 July-22 August 1987  PUBLISHED  Coups de Coeur  exhibition catalogue Halles de I'lle Geneva 1987 p. 61 (illustrated),35077,USD
Evening Sale New Delhi | Live,SEP 11 2015,2015,New Delhi,Saffron Art,Krishna Hawlaji Ara (1914-1985),Untitled-k H Ara,105231,http://mediacloud.saffronart.com/auctions/2015/liveaucsept/khara_1509live_24831_big.jpg,Untitled-k H Ara,http://www.saffronart.com/auctions/PostWork.aspx?l=18347,, 1500000 - 2000000,,6840000,,INR,Painting,,Gifted by the artist to the current owner The Collection of a Parsi Gentleman,,105231,USD
Evening Sale New Delhi | Live,SEP 11 2015,2015,New Delhi,Saffron Art,Krishna Hawlaji Ara (1914-1985),Untitled-k H Ara,16615,http://mediacloud.saffronart.com/auctions/2015/liveaucsept/khara_1509live_24753_big.jpg,Untitled-k H Ara,http://www.saffronart.com/auctions/PostWork.aspx?l=18348,, 400000 - 600000,,1080000,,INR,Painting,,Pundole Art Gallery Mumbai A Distinguished Parsi Family Collection,,16615,USD
Evening Sale New Delhi | Live,SEP 11 2015,2015,New Delhi,Saffron Art,Meera Mukherjee (1923-1998),Untitled (smiths Working Under A Tree)-meera  Mukherjee,70154,http://mediacloud.saffronart.com/auctions/2015/liveaucsept/meeram_1509live_24754_big.jpg,Untitled (smiths Working Under A Tree)-meera  Mukherjee,http://www.saffronart.com/auctions/PostWork.aspx?l=18349,, 1500000 - 2000000,,4560000,,INR,Sculpture,,Acquired directly from the artist in Calcutta A Distinguished Parsi Family Collection,,70154,USD
Evening Sale New Delhi | Live,SEP 11 2015,2015,New Delhi,Saffron Art,Meera Mukherjee (1923-1998),Untitled (mother And Child)-meera  Mukherjee,46154,http://mediacloud.saffronart.com/auctions/2015/liveaucsept/meeram_1509live_24836_big.jpg,Untitled (mother And Child)-meera  Mukherjee,http://www.saffronart.com/auctions/PostWork.aspx?l=18350,, 1500000 - 2000000,,3000000,,INR,Sculpture,,Private Collection Calcutta Saffronart 6-7 June 2007 lot 116 Acquired from the above by the present owner,,46154,USD
Evening Sale New Delhi | Live,SEP 11 2015,2015,New Delhi,Saffron Art,Maqbool Fida Husain (1915-2011),Untitled (village Scene)-maqbool Fida Husain,221538,http://mediacloud.saffronart.com/auctions/2015/liveaucsept/mfhusain_1509live_21971_big.jpg,Untitled (village Scene)-maqbool Fida Husain,http://www.saffronart.com/auctions/PostWork.aspx?l=18351,, 7000000 - 9000000,,1.44E7,,INR,Painting,,Acquired directly from the artist Begum Qudsia Zaidi Collection New Delhi Thence by descent An Important Private Collection New Delhi,,221538,USD
Evening Sale New Delhi | Live,SEP 11 2015,2015,New Delhi,Saffron Art,Syed Haider Raza (b. 1922),Les Paves Noirs-s H Raza,40615,http://mediacloud.saffronart.com/auctions/2015/liveaucsept/shraza_1509live_23296_big.jpg,Les Paves Noirs-s H Raza,http://www.saffronart.com/auctions/PostWork.aspx?l=18353,, 1800000 - 2200000,,2640000,,INR,Painting,,Cornette de Saint Cyr Paris 23 October 2010 lot 10 Vadehra Art Gallery New Delhi An Important Private Collection Bangalore,,40615,USD
Evening Sale New Delhi | Live,SEP 11 2015,2015,New Delhi,Saffron Art,Syed Haider Raza (b. 1922),Sansara-s H Raza,96000,http://mediacloud.saffronart.com/auctions/2015/liveaucsept/shraza_15septlive_22245_big.jpg,Sansara-s H Raza,http://www.saffronart.com/auctions/PostWork.aspx?l=18354,, 6000000 - 8000000,,6240000,,INR,Painting,,Acquired directly from the artist A Distinguished Family Collection New Delhi,,96000,USD
Evening Sale New Delhi | Live,SEP 11 2015,2015,New Delhi,Saffron Art,Manjit Bawa (1941-2008),Untitled-manjit  Bawa,110769,http://mediacloud.saffronart.com/auctions/2015/liveaucsept/manjitb_1509live_23055_big.jpg,Untitled-manjit  Bawa,http://www.saffronart.com/auctions/PostWork.aspx?l=18355,, 2500000 - 3500000,,7200000,,INR,Painting,,Acquired directly from the artist Private Collector New Delhi,,110769,USD
Evening Sale New Delhi | Live,SEP 11 2015,2015,New Delhi,Saffron Art,Jagdish Swaminathan (1928-1994),Bird Mountain Tree-jagdish  Swaminathan,88615,http://mediacloud.saffronart.com/auctions/2015/liveaucsept/jagdishs_1509live_24726_big.jpg,Bird Mountain Tree-jagdish  Swaminathan,http://www.saffronart.com/auctions/PostWork.aspx?l=18356,, 2500000 - 3500000,,5760000,,INR,Painting,,Saffronart 24 November-1 December 2000 lot 59 Private Collection USA,,88615,USD
Evening Sale New Delhi | Live,SEP 11 2015,2015,New Delhi,Saffron Art,Jehangir Sabavala (1922-2011),Of Cliff And Fall Iii-jehangir  Sabavala,212308,http://mediacloud.saffronart.com/auctions/2015/liveaucsept/jehangir_1509live_24326_big.jpg,Of Cliff And Fall Iii-jehangir  Sabavala,http://www.saffronart.com/auctions/PostWork.aspx?l=18357,, 12000000 - 18000000,,1.38E7,,INR,Painting,,Acquired directly from the artist Private Collection UK Saffronart 19-20 June 2013 lot 10 Private Collection North India,"Gallery Art Heritage Triveri Kala Sangam New Delhi 1979 Jehangir Art Gallery Mumbai 1980  PUBLISHED ""From an Artist's Notebook Jehangir Sabavala"" For You The Magazine with a Mind  November 1979  Catalog 1979-80  exhibition catalogue New Delhi Art Heritage 1980 Priya Devi The Painterly Search of Jehangir Sabavala  Design January-March 1980  Jehangir Sabavala  exhibition catalogue New Delhi Lalit Kala Akademi 1984 pl. 21 (illustrated unpaginated)  Season 1987-88  exhibition catalogue New Delhi Art Heritage 1988 Ranjit Hoskote ed. Pilgrim Exile Sorcerer The Painterly Evolution of Jehangir Sabavala  New Delhi Eminence Designs Pvt. Ltd. 1998 p. 121 (illustrated)",212308,USD
Evening Sale New Delhi | Live,SEP 11 2015,2015,New Delhi,Saffron Art,Ram Kumar (b. 1924),Untitled-ram  Kumar,14769,http://mediacloud.saffronart.com/auctions/2015/liveaucsept/ramk_1509live_24175_big.jpg,Untitled-ram  Kumar,http://www.saffronart.com/auctions/PostWork.aspx?l=18358,, 800000 - 1000000,,960000,,INR,Drawing,,Acquired directly from the artist Property of an Important Collector New Delhi,,14769,USD
Evening Sale New Delhi | Live,SEP 11 2015,2015,New Delhi,Saffron Art,Akbar Padamsee (b. 1928),Paysage-akbar  Padamsee,590769,http://mediacloud.saffronart.com/auctions/2015/liveaucsept/akbarp_15feblive_20215_big.jpg,Paysage-akbar  Padamsee,http://www.saffronart.com/auctions/PostWork.aspx?l=18359,, 10000000 - 15000000,,3.84E7,,INR,Painting,,Private Collection France Private Collection UK,Paris circa 1960s,590769,USD
Evening Sale New Delhi | Live,SEP 11 2015,2015,New Delhi,Saffron Art,Gaganendranath Tagore (1867-1938),Untitled-gaganendranath  Tagore,11077,http://mediacloud.saffronart.com/auctions/2015/liveaucsept/gtagore_14papliv_19015_big.jpg,Untitled-gaganendranath  Tagore,http://www.saffronart.com/auctions/PostWork.aspx?l=18360,, 500000 - 700000,,720000,,INR,Painting,,The Estate of Lady Ranu Mookerjee Calcutta Private Collection Mumbai,,11077,USD
Evening Sale New Delhi | Live,SEP 11 2015,2015,New Delhi,Saffron Art,Sailoz Mookherjea (b. 1907),Untitled (dreaming Girl)-sailoz  Mukherjea,16615,http://mediacloud.saffronart.com/auctions/2015/liveaucsept/unknown_1509live_24705a_big.jpg,Untitled (dreaming Girl)-sailoz  Mukherjea,http://www.saffronart.com/auctions/PostWork.aspx?l=18361,, 1000000 - 1500000,,1080000,,INR,Painting,,Dhoomimal Gallery New Delhi,,16615,USD
Evening Sale New Delhi | Live,SEP 11 2015,2015,New Delhi,Saffron Art,Jamini Roy (1887-1972),Untitled (sita Ravana And Jatayu)-jamini  Roy,16615,http://mediacloud.saffronart.com/auctions/2015/liveaucsept/jaminir_1509live_23803_big.jpg,Untitled (sita Ravana And Jatayu)-jamini  Roy,http://www.saffronart.com/auctions/PostWork.aspx?l=18362,, 400000 - 600000,,1080000,,INR,Painting,,Private Collection Chicago Private Collection North India,,16615,USD
Evening Sale New Delhi | Live,SEP 11 2015,2015,New Delhi,Saffron Art,Jamini Roy (1887-1972),Untitled (lady In Carriage)-jamini  Roy,48000,http://mediacloud.saffronart.com/auctions/2015/liveaucsept/jaminir_1504live_21662_big.jpg,Untitled (lady In Carriage)-jamini  Roy,http://www.saffronart.com/auctions/PostWork.aspx?l=18363,, 800000 - 1000000,,3120000,,INR,Painting,,Private American Collection Brunswick Private Collection New Delhi,,48000,USD
Evening Sale New Delhi | Live,SEP 11 2015,2015,New Delhi,Saffron Art,Tyeb Mehta (1925-2009),Untitled (standing Figure)-tyeb  Mehta,1771154,http://mediacloud.saffronart.com/auctions/2015/liveaucsept/tyeb_1409live_24593_big.jpg,Untitled (standing Figure)-tyeb  Mehta,http://www.saffronart.com/auctions/PostWork.aspx?l=18364,, 100000000 - 150000000,,1.15125E8,,INR,Painting,,Contemporary Indian Paintings from the Chester and Davida Herwitz Collection Sotheby's New York 5 December 2000 lot 97 An Important Private Collection,Contemporary Indian Art from the Chester and Davida Herwitz Family Collection  exhibition catalogue The Grey Art Gallery and Study Center New York University New York December 1985-January 1986 Center Art Gallery Bucknell University Lewisburg Pennsylvania February-March 1986 Robert Hull Fleming Museum University of Vermont Vermont Burlington April-May 1986  PUBLISHED Thomas W. Sokolowski ed. Contemporary Indian Art from the Chester and Davida Herwitz Family Collection  New York The Grey Art Gallery 1985 p. 59 (illustrated) Ranjit Hoskote ed. Tyeb Mehta Ideas Images Exchanges  New Delhi Vadehra Art Gallery 2005 p. 126 (illustrated),1771154,USD
Evening Sale New Delhi | Live,SEP 11 2015,2015,New Delhi,Saffron Art,Tyeb Mehta (1925-2009),Untitled-tyeb  Mehta,46154,http://mediacloud.saffronart.com/auctions/2015/liveaucsept/tyebm_1509live_23773_big.jpg,Untitled-tyeb  Mehta,http://www.saffronart.com/auctions/PostWork.aspx?l=18365,, 1800000 - 2400000,,3000000,,INR,Drawing,,,Tyeb Mehta Triumph of Vision  New Delhi Vadehra Art Gallery 15 January-18 February 2011  PUBLISHED  Tyeb Mehta Triumph of Vision  exhibition catalogue Vadehra Art Gallery New Delhi 2011 p. 62 (illustrated),46154,USD
Evening Sale New Delhi | Live,SEP 11 2015,2015,New Delhi,Saffron Art,Maqbool Fida Husain (1915-2011),Untitled-maqbool Fida Husain,332308,http://mediacloud.saffronart.com/auctions/2015/liveaucsept/mfhusain_1509live_24595_big.jpg,Untitled-maqbool Fida Husain,http://www.saffronart.com/auctions/PostWork.aspx?l=18367,, 8000000 - 10000000,,2.16E7,,INR,Painting,,Collection of a Distinguished Lady Mumbai,,332308,USD
Evening Sale New Delhi | Live,SEP 11 2015,2015,New Delhi,Saffron Art,Maqbool Fida Husain (1915-2011),Untitled-maqbool Fida Husain,138462,http://mediacloud.saffronart.com/auctions/2015/liveaucsept/mfhusain_1504live_21532_big.jpg,Untitled-maqbool Fida Husain,http://www.saffronart.com/auctions/PostWork.aspx?l=18368,, 9000000 - 12000000,,9000000,,INR,Painting,,Private Family Collection Punjab Thence by descent Private Family Collection New Delhi,,138462,USD
Evening Sale New Delhi | Live,SEP 11 2015,2015,New Delhi,Saffron Art,Manjit Bawa (1941-2008),Untitled (acrobat)-manjit  Bawa,313846,http://mediacloud.saffronart.com/auctions/2015/liveaucsept/manjitb_1509live_23057_big.jpg,Untitled (acrobat)-manjit  Bawa,http://www.saffronart.com/auctions/PostWork.aspx?l=18369,, 8000000 - 12000000,,2.04E7,,INR,Painting,,Acquired directly from the artist Private Collector Delhi,,313846,USD
Evening Sale New Delhi | Live,SEP 11 2015,2015,New Delhi,Saffron Art,Manjit Bawa (1941-2008),Untitled-manjit  Bawa,101538,http://mediacloud.saffronart.com/auctions/2015/liveaucsept/manjitb_1509live_23056_big.jpg,Untitled-manjit  Bawa,http://www.saffronart.com/auctions/PostWork.aspx?l=18370,, 2500000 - 3500000,,6600000,,INR,Painting,,Acquired directly from the artist Private Collector New Delhi,,101538,USD
Evening Sale New Delhi | Live,SEP 11 2015,2015,New Delhi,Saffron Art,Ganesh Pyne (1937-2013),Untitled-ganesh  Pyne,14769,http://mediacloud.saffronart.com/auctions/2015/liveaucsept/ganeshp_1509live_24576_big.jpg,Untitled-ganesh  Pyne,http://www.saffronart.com/auctions/PostWork.aspx?l=18371,, 600000 - 800000,,960000,,INR,Painting,,Acquired directly from the artist Thence by descent An Important Private Collection India,,14769,USD
Evening Sale New Delhi | Live,SEP 11 2015,2015,New Delhi,Saffron Art,Ganesh Pyne (1937-2013),Untitled-ganesh  Pyne,31385,http://mediacloud.saffronart.com/auctions/2015/liveaucsept/ganeshp_1509live_24763_big.jpg,Untitled-ganesh  Pyne,http://www.saffronart.com/auctions/PostWork.aspx?l=18372,, 1600000 - 2000000,,2040000,,INR,Painting,,Private Collection Mumbai,,31385,USD
Evening Sale New Delhi | Live,SEP 11 2015,2015,New Delhi,Saffron Art,Bhupen Khakhar (1934-2004),Procession-bhupen  Khakhar,184615,http://mediacloud.saffronart.com/auctions/2015/liveaucsept/bhupenk_1509live_24816_big.jpg,Procession-bhupen  Khakhar,http://www.saffronart.com/auctions/PostWork.aspx?l=18373,, 5000000 - 7000000,,1.2E7,,INR,Painting,,Acquired directly from the artist by a close friend The Collection of a Distinguished Gentleman Mumbai,Bhupen Khakhar A Retrospective  exhibition catalogue organzied by The Fine Art Resource at National Gallery of Modern Art (NGMA) Mumbai 4-26 November 2003  PUBLISHED Timothy Hyman Enrique Jancosa et al. ed. Bhupen Khakhar A Retrospective  Mumbai The Fine Art Resource 2003 p. 86 (illustrated),184615,USD
Evening Sale New Delhi | Live,SEP 11 2015,2015,New Delhi,Saffron Art,Bhupen Khakhar (1934-2004),Untitled-bhupen  Khakhar,10154,http://mediacloud.saffronart.com/auctions/2015/liveaucsept/bhupenk_1504live_21611_big.jpg,Untitled-bhupen  Khakhar,http://www.saffronart.com/auctions/PostWork.aspx?l=18374,, 400000 - 600000,,660000,,INR,Painting,,Private Collection Vadodara Private Collection Mumbai,,10154,USD
Evening Sale New Delhi | Live,SEP 11 2015,2015,New Delhi,Saffron Art,Francis Newton Souza (1924-2002),Man And Woman Laughing-francis Newton Souza,2590769,http://mediacloud.saffronart.com/auctions/2015/liveaucsept/fnsouza_1509live_24594_big.jpg,Man And Woman Laughing-francis Newton Souza,http://www.saffronart.com/auctions/PostWork.aspx?l=18375,, 150000000 - 200000000,,1.684E8,,INR,Painting,,Harold Kovner Collection New York Collection of a Gentleman Mumbai,Souza 57  Gallery One London 1957  PUBLISHED  Souza 57  exhibition catalogue London Villiers Publications 1957 (illustrated unpaginated) Yashodhara Dalmia ed. The Making of Modern Indian Art The Progressives  New Delhi Oxford University Press 2001 p. 86 (illustrated),2590769,USD
Evening Sale New Delhi | Live,SEP 11 2015,2015,New Delhi,Saffron Art,Francis Newton Souza (1924-2002),Untitled-francis Newton Souza,83077,http://mediacloud.saffronart.com/auctions/2015/liveaucsept/fnsouza_1509live_24412_big.jpg,Untitled-francis Newton Souza,http://www.saffronart.com/auctions/PostWork.aspx?l=18376,, 4000000 - 6000000,,5400000,,INR,Painting,,Acquired directly from the artist New York Private Collection Mumbai,,83077,USD
Evening Sale New Delhi | Live,SEP 11 2015,2015,New Delhi,Saffron Art,Francis Newton Souza (1924-2002),Untitled-francis Newton Souza,10154,http://mediacloud.saffronart.com/auctions/2015/liveaucsept/fnsouza_1509live_24158_big.jpg,Untitled-francis Newton Souza,http://www.saffronart.com/auctions/PostWork.aspx?l=18377,, 500000 - 700000,,660000,,INR,Painting,,Glenbarra Art Museum Himeiji Saffronart Works on Paper  February-March 2003 lot 494,Works on Paper  Saffronart 20 February-15 March 2003,10154,USD
Evening Sale New Delhi | Live,SEP 11 2015,2015,New Delhi,Saffron Art,Jehangir Sabavala (1922-2011),Rice Fields Palni Hills - Ii-jehangir  Sabavala,Lot passed,http://mediacloud.saffronart.com/auctions/2015/liveaucsept/jehangir_1509live_24623_big.jpg,Rice Fields Palni Hills - Ii-jehangir  Sabavala,http://www.saffronart.com/auctions/PostWork.aspx?l=18378,, 13000000 - 18000000,,,,INR,Painting,,Private Collection USA,Ricorso  Sakshi Gallery Mumbai September 2008 Aicon Gallery London November 2008 Aicon Gallery New York January-February 2009   Shifting the Paradigm Masterworks of Indian Painting Before and After Independence  Aicon Gallery New York 12 September-18 October 2014  PUBLISHED Ranjit Hoskote ed. Ricorso Jehangir Sabavala Paintings 2006-2008  jointly published by Sakshi Gallery Mumbai Aicon Gallery London Aicon Gallery New York 2008 p. 21 (illustrated),,USD
Evening Sale New Delhi | Live,SEP 11 2015,2015,New Delhi,Saffron Art,Jehangir Sabavala (1922-2011),Plum - Dark Twilight-jehangir  Sabavala,110769,http://mediacloud.saffronart.com/auctions/2015/liveaucsept/jehangirs_14septlive_16247_big.jpg,Plum - Dark Twilight-jehangir  Sabavala,http://www.saffronart.com/auctions/PostWork.aspx?l=18379,, 4000000 - 6000000,,7200000,,INR,Painting,,Collection of a Parsi Lady Christie's New York 31 March 2005 lot 306 Collection of a Gentleman India,,110769,USD
Evening Sale New Delhi | Live,SEP 11 2015,2015,New Delhi,Saffron Art,Prabhakar Barwe (1936-1995),Circular Oneness-prabhakar  Barwe,36923,http://mediacloud.saffronart.com/auctions/2015/liveaucsept/pbarwe_14evelive_12978_big.jpg,Circular Oneness-prabhakar  Barwe,http://www.saffronart.com/auctions/PostWork.aspx?l=18380,, 2000000 - 3000000,,2400000,,INR,Painting,,Saffronart 18-19 June 2008 lot 65,,36923,USD
Evening Sale New Delhi | Live,SEP 11 2015,2015,New Delhi,Saffron Art,Akbar Padamsee (b. 1928),Untitled (metascape)-akbar  Padamsee,646154,http://mediacloud.saffronart.com/auctions/2015/liveaucsept/akbarp_1509live_24690_big.jpg,Untitled (metascape)-akbar  Padamsee,http://www.saffronart.com/auctions/PostWork.aspx?l=18382,, 35000000 - 45000000,,4.2E7,,INR,Painting,,Private Parsi Collection Mumbai Saffronart 6-7 December 2006 lot 90 Acquired from the above by the present owner,Akbar Padamsee Mirror - Images  Pundole Art Gallery Bombay 1994  PUBLISHED Meher Pestonji ed. Akbar Padamsee Mirror - Images  Bombay Pundole Art Gallery 1994 (illustrated unpaginated),646154,USD
Evening Sale New Delhi | Live,SEP 11 2015,2015,New Delhi,Saffron Art,Sakti Burman (b. 1935),Untitled-sakti  Burman,7754,http://mediacloud.saffronart.com/auctions/2015/liveaucsept/saktib_1509live_24151_big.jpg,Untitled-sakti  Burman,http://www.saffronart.com/auctions/PostWork.aspx?l=18384,, 200000 - 300000,,504000,,INR,Painting,,Acquired directly from the artist Private Collection Paris Private Collection New Delhi,,7754,USD
Evening Sale New Delhi | Live,SEP 11 2015,2015,New Delhi,Saffron Art,Sakti Burman (b. 1935),Untitled-sakti  Burman,46154,http://mediacloud.saffronart.com/auctions/2015/liveaucsept/saktib_1509live_24664_big.jpg,Untitled-sakti  Burman,http://www.saffronart.com/auctions/PostWork.aspx?l=18385,, 3000000 - 5000000,,3000000,,INR,Painting,,Acquired directly from the artist in Paris,,46154,USD
Evening Sale New Delhi | Live,SEP 11 2015,2015,New Delhi,Saffron Art,Syed Haider Raza (b. 1922),Surya-namaskar-s H Raza,738462,http://mediacloud.saffronart.com/auctions/2015/liveaucsept/shraza_1509live_24660_big.jpg,Surya-namaskar-s H Raza,http://www.saffronart.com/auctions/PostWork.aspx?l=18386,, 50000000 - 70000000,,4.8E7,,INR,Painting,,Acquired directly from the artist A Distinguished Family Collection New Delhi,  The Journey of a Master  exhibition catalogue Vadehra Art Gallery 2014 p. 156 (illustrated),738462,USD
Evening Sale New Delhi | Live,SEP 11 2015,2015,New Delhi,Saffron Art,Syed Haider Raza (b. 1922),Kundalini-s H Raza,184615,http://mediacloud.saffronart.com/auctions/2015/liveaucsept/raza_13sp_09121_big.jpg,Kundalini-s H Raza,http://www.saffronart.com/auctions/PostWork.aspx?l=18387,, 10000000 - 12000000,,1.2E7,,INR,Painting,,The Arts Trust Mumbai An Important Private Collection Bangalore,Institute of Contemporary Indian Art (ICIA) Mumbai 2012,184615,USD
Evening Sale New Delhi | Live,SEP 11 2015,2015,New Delhi,Saffron Art,Vasudeo S. Gaitonde (1924-2001),Untitled-v S Gaitonde,62769,http://mediacloud.saffronart.com/auctions/2015/liveaucsept/vsgaitonde_1509live_24751_big.jpg,Untitled-v S Gaitonde,http://www.saffronart.com/auctions/PostWork.aspx?l=18388,, 2500000 - 3000000,,4080000,,INR,Drawing,,Jean and Krishna Riboud Collection Paris Christie's Paris 7 March 2007 lot 38 A Distinguished Collector New Delhi,Chamatkara Myth and Magic in Indian Art  organised by Centre of International Modern Art (CIMA) Calcutta at Whitleys Art Gallery London 29 October-15 November 1996  PUBLISHED Rakhi Sarkar ed. Chamatkara Myth and Magic in Indian Art  Calcutta CIMA Enterprise 1996 p. 79 (illustrated),62769,USD
